,index,0
0,국제유가,29866
1,상승,17848
2,하락,13540
3,뉴욕증시,11009
4,유,10789
5,연속,7193
6,美,7174
7,우려,6332
8,만,5624
9,가격,5119
10,휘발유,5046
11,전망,4819
12,증시,4576
13,등,4540
14,급등,4084
15,영향,3918
16,코스피,3836
17,수출,3603
18,급락,3502
19,미국,3489
20,원유,3484
21,0.,3472
22,속,3447
23,마감,3347
24,국제,3294
25,물,3145
26,감소,3071
27,소비자물가,3018
28,기대,2941
29,글로벌,2930
30,출발,2869
31,실적,2857
32,감산,2840
33,최고,2827
34,최고치,2803
35,올해,2684
36,반등,2666
37,사상,2641
38,한,2630
39,이,2547
40,기름값,2513
41,코,2473
42,소폭,2426
43,사우디,2373
44,유류세,2362
45,트럼프,2338
46,강세,2330
47,회복,2323
48,코로나19,2314
49,종합,2310
50,상승세,2302
51,최대,2298
52,지속,2271
53,정부,2094
54,경제,2070
55,기대감,2053
56,내년,2042
57,돌파,1977
58,전국,1934
59,인상,1933
60,주유소,1932
61,전,1900
62,오늘,1891
63,주,1883
64,휘발유값,1878
65,미,1873
66,평균,1830
67,혼조,1710
68,재고,1690
69,2,1682
70,것,1634
71,1,1621
72,증가,1621
73,폭락,1619
74,다우,1617
75,국내,1610
76,미중,1607
77,다우지수,1602
78,가능성,1598
79,생산자물,1574
80,수요,1570
81,1.,1550
82,부진,1550
83,하락세,1539
84,첫,1496
85,환율,1411
86,금리,1408
87,3,1399
88,2분기,1391
89,1분기,1388
90,원유재고,1384
91,증,1379
92,무역협상,1319
93,휘발윳값,1290
94,약세,1288
95,증산,1283
96,배럴당,1282
97,완화,1279
98,3분기,1278
99,경기,1256
100,호조,1254
101,확대,1246
102,이후,1242
103,중,1241
104,영업익,1236
105,여파,1203
106,정유업계,1199
107,장중,1185
108,불확실성,1176
109,미국증시,1149
110,5월,1147
111,하반기,1134
112,기업,1127
113,상승…WTI,1122
114,확산,1117
115,유가,1114
116,2.,1108
117,공포,1102
118,역대,1087
119,지수,1077
120,예상,1074
121,최저,1074
122,듯,1073
123,불안,1068
124,백신,1067
125,전기요금,1058
126,4월,1045
127,기술주,1042
128,유지,1040
129,마이너스,1039
130,10월,1034
131,리터,1034
132,원,1030
133,상보,1022
134,연장,1018
135,주목,1014
136,시장,1007
137,성장률,1006
138,인플레,997
139,주요,994
140,상승률,990
141,부담,980
142,中,976
143,추,963
144,동반,961
145,발표,960
146,무역전쟁,955
147,에너지,951
148,둔화,944
149,특징주,943
150,공급,943
151,리,939
152,대,938
153,이노베이션,938
154,수주,930
155,하락…WTI,929
156,나스닥,928
157,7월,927
158,오름세,924
159,중국,922
160,3월,919
161,작년,900
162,11월,891
163,반도체,888
164,소식,885
165,세계,884
166,동결,884
167,1월,881
168,기준금리,873
169,지난해,873
170,산유국,873
171,연준,869
172,↑,861
173,ℓ당,857
174,흑자,856
175,제재,851
176,리스크,850
177,OPEC+,845
178,달,843
179,9월,838
180,전환,836
181,수,832
182,6월,831
183,데,831
184,상반기,825
185,중동,820
186,고공행진,813
187,8월,809
188,폭,798
189,수입물,796
190,이주열,795
191,수출물가,794
192,내,793
193,대비,789
194,영업이익,786
195,부양책,783
196,해외시황,783
197,효과,780
198,폭등,772
199,금리인상,770
